ticker,category,current_price,target_mean,target_median,target_high,target_low,target_std,normalized_dispersion,num_analysts
AAPL,large_cap,334.35,324.40155,335.0,400.0,215.0,46.25,0.1426,39
MSFT,large_cap,494.605,572.91516,555.0,870.0,400.0,117.5,0.2051,52
NVDA,large_cap,219.1,327.17758,315.0,515.0,180.0,83.75,0.256,58
AMZN,large_cap,256.205,328.1707,325.5,405.0,230.0,43.75,0.1333,60
GOOGL,large_cap,341.18,428.06668,429.0,515.0,340.0,43.75,0.1022,54
META,large_cap,649.425,757.31085,750.0,1000.0,580.0,105.0,0.1386,57
BRK-B,large_cap,507.56,547.6667,529.0,604.0,510.0,23.5,0.0429,3
JPM,large_cap,356.88,376.14285,372.0,452.0,305.0,36.75,0.0977,21
V,large_cap,370.575,419.36163,422.0,466.0,330.0,34.0,0.0811,37
LLY,large_cap,1122.7499,1318.6614,1376.0,1600.0,930.0,167.5,0.127,29
UNH,large_cap,379.58,475.23077,490.0,529.0,313.0,54.0,0.1136,26
XOM,large_cap,165.345,170.90909,170.0,200.0,142.0,14.5,0.0848,22
JNJ,large_cap,265.79,277.9091,282.0,320.0,190.0,32.5,0.1169,22
PG,large_cap,145.1255,160.6087,162.0,186.0,143.0,10.75,0.0669,23
HD,large_cap,309.7048,377.1875,379.0,425.0,310.0,28.75,0.0762,32
MA,large_cap,569.08,668.5278,669.0,740.0,550.0,47.5,0.0711,36
COST,large_cap,904.11,1072.2,1100.0,1315.0,740.0,143.75,0.1341,35
ABBV,large_cap,257.345,277.31033,282.0,328.0,200.0,32.0,0.1154,29
MRK,large_cap,145.15,152.96153,152.5,186.0,105.0,20.25,0.1324,26
BAC,large_cap,62.96,69.0,68.0,79.0,62.0,4.25,0.0616,21
CVX,large_cap,213.7599,221.20833,224.5,243.0,175.0,17.0,0.0769,24
CRM,large_cap,248.96,273.37314,273.0,475.0,160.0,78.75,0.2881,54
NFLX,large_cap,76.9302,93.66,93.0,135.0,70.0,16.25,0.1735,45
AMD,large_cap,512.555,615.068,610.0,1250.0,365.0,221.25,0.3597,50
PEP,large_cap,137.12,155.0,155.0,183.0,124.0,14.75,0.0952,22
KO,large_cap,88.405,94.69565,96.0,104.0,75.0,7.25,0.0766,23
TMO,large_cap,612.04,645.14813,650.0,750.0,520.0,57.5,0.0891,27
WMT,large_cap,106.45,127.425,130.0,155.0,81.0,18.5,0.1452,40
MCD,large_cap,253.17,315.3871,305.0,407.0,250.0,39.25,0.1245,31
CSCO,large_cap,111.59,137.625,135.0,170.0,115.0,13.75,0.0999,24
KNSL,small_cap,357.85,354.77777,375.0,405.0,259.0,36.5,0.1029,9
SAIA,small_cap,349.565,432.54544,438.5,510.0,285.0,56.25,0.13,22
MEDP,small_cap,593.1,581.8333,604.5,692.0,370.0,80.5,0.1384,12
SSD,small_cap,173.35,219.0,218.0,230.0,212.0,4.5,0.0205,5
EXPO,small_cap,67.35,84.0,90.0,90.0,72.0,4.5,0.0536,3
FORM,small_cap,114.96,138.625,157.5,175.0,64.0,27.75,0.2002,8
TKR,small_cap,118.02,147.74635,150.0,160.0,130.0,7.5,0.0508,11
POWI,small_cap,52.655,77.5,80.0,85.0,65.0,5.0,0.0645,4
CALM,small_cap,73.6,84.0,83.0,90.0,79.0,2.75,0.0327,3
PLUS,small_cap,91.18,111.0,111.0,111.0,111.0,0.0,0.0,1
FSS,small_cap,114.61,145.625,146.5,155.0,132.0,5.75,0.0395,8
ATKR,small_cap,94.28,93.5,93.5,95.0,92.0,0.75,0.008,2
BRC,small_cap,87.52,110.0,110.0,111.0,109.0,0.5,0.0045,2
CNO,small_cap,54.985,53.75,53.5,56.0,52.0,1.0,0.0186,4
ENSG,small_cap,173.3875,220.0,225.0,230.0,207.0,5.75,0.0261,5
FIX,small_cap,1675.5,2197.0,2165.5,2500.0,1910.0,147.5,0.0671,8
GBCI,small_cap,46.095,56.83333,56.5,60.0,55.0,1.25,0.022,6
GPI,small_cap,283.3,371.08334,372.5,450.0,275.0,43.75,0.1179,12
HLNE,small_cap,96.855,133.42857,130.0,181.0,105.0,19.0,0.1424,7
HWKN,small_cap,124.27,174.25,177.5,200.0,142.0,14.5,0.0832,4
IBP,small_cap,207.875,244.81818,246.0,297.0,200.0,24.25,0.0991,11
MC,small_cap,64.295,72.0,71.5,86.0,60.0,6.5,0.0903,10
OII,small_cap,50.735,46.0,47.0,52.0,38.0,3.5,0.0761,4
PRDO,small_cap,33.04,44.0,44.0,44.0,44.0,0.0,0.0,1
SHOO,small_cap,42.86,52.4,55.0,60.0,36.0,6.0,0.1145,10
SLVM,small_cap,35.32,51.25,47.5,65.0,45.0,5.0,0.0976,4
