category,bucket,horizon,mean_return,std_error,count
large_cap,High Agreement,1m,0.029849424616514873,0.007377119692903146,158
large_cap,Low Agreement,1m,0.029430745914670965,0.007371279354866331,160
large_cap,Mid Agreement,1m,0.025989407361571067,0.008084386838340478,162
large_cap,High Agreement,3m,0.06487554861700523,0.013806323168898724,148
large_cap,Low Agreement,3m,0.06698967028682178,0.015122344147143528,150
large_cap,Mid Agreement,3m,0.055159542919235215,0.012632180570881599,152
large_cap,High Agreement,6m,0.16973993138626417,0.026871364441581582,138
large_cap,Low Agreement,6m,0.10506779853784678,0.014226361938916745,140
large_cap,Mid Agreement,6m,0.10730953602270815,0.019920876132886258,142
small_cap,High Agreement,1m,0.029612511263256057,0.01138500720362612,136
small_cap,Low Agreement,1m,0.035256911104583614,0.011077561701864068,148
small_cap,Mid Agreement,1m,0.04307100587046207,0.00945669607479739,148
small_cap,High Agreement,3m,0.06450060485187031,0.018068141125723247,126
small_cap,Low Agreement,3m,0.07819457903829549,0.017927072765753463,139
small_cap,Mid Agreement,3m,0.07180278606211599,0.014343574846553034,140
small_cap,High Agreement,6m,0.1436160625879439,0.02939640348723488,118
small_cap,Low Agreement,6m,0.15672095240589676,0.02435736795121814,130
small_cap,Mid Agreement,6m,0.127309409312868,0.024376354000599725,130
